Title,Genre,Premiere,Seasons,Language,Status,Type
Inside Edge[a],Sports drama,"July 10, 2017","3 seasons, 30 episodes",Hindi,Renewed[1],drama
Laakhon Mein Ek,Drama,"October 13, 2017","2 seasons, 14 episodes",Hindi,Pending,drama
Breathe[b],Thriller,"January 26, 2018","1 season, 8 episodes",Hindi/Tamil,Completed,drama
Gangstars[a],Crime-drama,"June 1, 2018","1 season, 12 episodes",Telugu,Completed[2],drama
Mirzapur[b],Crime thriller,"November 16, 2018","2 season, 19 episodes",Hindi,Renewed[3],drama
Vella Raja,Crime-drama,"December 7, 2018","1 season, 10 episodes",Tamil,Completed,drama
Made in Heaven[b],Drama,"March 7, 2019","1 season, 8 episodes",Hindi,Renewed[4],drama
The Family Man[c],Thriller,"September 20, 2019","2 seasons, 19 episodes",Hindi,Renewed[5],drama
The Forgotten Army[c],Historical drama,"January 24, 2020",5 episodes,Hindi,Completed,drama
Paatal Lok,Crime thriller,"May 15, 2020","1 season, 9 episodes",Hindi,Renewed[6],drama
Breathe: Into the Shadows,Crime thriller,"July 10, 2020","2 season, 20 episodes",Hindi,Renewed[7],drama
Bandish Bandits,Musical,"August 4, 2020","1 season, 10 episodes",Hindi,Completed,drama
Tandav,Political drama,"January 15, 2021","1 season, 9 episodes",Hindi,Completed,drama
The Last Hour,Crime thriller,"May 14, 2021","1 season, 8 episodes",Hindi,Completed,drama
Mumbai Diaries 26/11,Thriller,"September 9, 2021","2 season, 16 episodes",Hindi,Completed,drama
Akkad Bakkad Rafu Chakkar,Crime drama,"November 3, 2021","1 season, 10 episodes",Hindi,Completed,drama
Putham Pudhu Kaalai Vidiyaadhaa,Anthology,"January 14, 2022","1 season, 5 episodes",Tamil,Completed,drama
Bestseller,Drama,"February 18, 2022","1 season, 8 episodes",Hindi,Completed,drama
Guilty Minds,Legal Drama,"April 22, 2022","1 season, 10 episodes",Hindi,Completed,drama
Modern Love Mumbai,Anthology,"May 13, 2022","1 season, 6 episodes",Hindi,Completed,drama
Suzhal: The Vortex,Thriller,"June 17, 2022","1 season, 8 episodes",Tamil,Completed,drama
Modern Love Hyderabad,Anthology,"July 8, 2022","1 season, 6 episodes",Telugu,Completed,drama
Crash Course,Drama,"August 5, 2022","1 season, 10 episodes",Hindi,Completed,drama
Hush Hush[8],Thriller,"September 23, 2022","1 season, 7 episodes",Hindi,Completed,drama
Vadhandhi: The Fable of Velonie,Thriller,"December 2, 2022","1 season, 8 episodes",Tamil,Completed,drama
Farzi[9],black comedy crime thriller,"February 10, 2023","1 season , 8 episodes",Hindi,Pending,drama
Jubilee[10],Historical Drama,"April 7, 2023","1 season, 10 episodes",Hindi,Pending,drama
Dahaad[11],Crime drama,"May 12, 2023","1 season, 8 episodes",Hindi,Completed,drama
Modern Love Chennai,Anthology,"May 18, 2023","1 season, 6 episodes",Tamil,Completed,drama
Jee Karda,Romantic Drama,"June 15, 2023","1 season, 8 episodes",Hindi,Completed,drama
Sweet Kaaram Coffee,Drama,"July 6, 2023","1 season, 8 episodes",Tamil,Completed,drama
Adhura[12],Supernatural Thriller,"July 7, 2023","1 season, 7 episodes",Hindi,Completed,drama
Bambai Meri Jaan[13],Crime thriller,"September 14, 2023","1 season, 10 episodes",Hindi,Completed,drama
P I Meena,Thriller,"November 3, 2023","1 season, 8 episodes",Hindi,Completed,drama
The Village[14],Horror,"November 24, 2023","1 season, 6 episodes",Tamil,Pending,drama
Shehar Lakhot[15],Thriller,"November 30, 2023","1 season, 8 episodes",Hindi,Pending,drama
Dhootha[16],Horror mystery thriller,"December 1, 2023","1 season, 8 episodes",Telugu,Pending,drama
Vyooham,Action thriller,"December 14, 2023","1 season, 8 episodes",Telugu,Pending,drama
Indian Police Force[17],Action,"January 19, 2024","1 season, 7 episodes",Hindi,NoData,drama
Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release,drama
Poacher[18],Crime-drama,"February 23, 2024",TBA,Malayalam,NoData,drama
Gulkanda Tales[19],Historical drama,TBA,TBA,Hindi,NoData,drama
Call Me Bae,Romantic,TBA,TBA,Hindi,NoData,drama
India Love Project,Romantic,TBA,TBA,Hindi,NoData,drama
Pushpavalli[b],Comedy drama,"December 15, 2017","2 seasons, 16 episodes",Hindi,Pending,comedy
Shaitaan Haveli,Horror comedy,"January 5, 2018","1 season, 8 episodes",Hindi,Ended,comedy
Chacha Vidhayak Hain Humare,Comedy,"May 18, 2018","2 season, 16 episodes",Hindi,Renewed[20],comedy
Four More Shots Please![b],Romantic comedy-drama,"January 25, 2019","3 seasons, 30 episodes",Hindi,Pending,comedy
Mind the Malhotras,Sitcom,"June 7, 2019","1 season, 9 episodes",Hindi,Pending,comedy
Hostel Daze,Comedy drama,"December 13, 2019","4 season, 21 episodes",Hindi,Ended,comedy
Afsos,Comedy drama,"February 6, 2020","1 season, 8 episodes",Hindi,Ended,comedy
Panchayat,Comedy drama,"April 3, 2020","2 season, 16 episodes",Hindi,Renewed,comedy
Rasbhari,Comedy drama,"June 25, 2020","1 season, 8 episodes",Hindi,Pending,comedy
Time Enna Boss,Sci-fi / Comedy drama,"September 18, 2020","1 season, 10 episodes",Tamil,Ended,comedy
Kumari Srimathi[21],Comedy drama,"September 28, 2023","1 season, 7 episodes",Telugu,Pending,comedy
Happy Family: Conditions Apply[22],comedy,"March 10, 2023","1 season, 10 episodes",Hindi,pending,comedy
Awaiting release,Awaiting release,,NoData,,NoData,comedy
Kalari Kids,Adventure,"April 15, 2017","3 seasons, 60 episodes",Hindi,Ended,Animation
Baahubali: The Lost Legends[a],Action/Historical fiction,"April 19, 2017","2 seasons, 104 episodes",Hindi/Telugu/Tamil,Pending,Animation
Selfie With Bajrangi,Action comedy,"April 16, 2018","2 seasons, 14 episodes",Hindi,Moved to Hotstar[23],Animation
Inspector Chingum,Action comedy,"May 4, 2018","2 seasons, 54 episodes",Hindi,Ended,Animation
Pushpavalli[b],Comedy drama,"December 15, 2017","2 seasons, 16 episodes",Hindi,Pending,comedy
Shaitaan Haveli,Horror comedy,"January 5, 2018","1 season, 8 episodes",Hindi,Ended,comedy
Chacha Vidhayak Hain Humare,Comedy,"May 18, 2018","2 season, 16 episodes",Hindi,Renewed[20],comedy
Four More Shots Please![b],Romantic comedy-drama,"January 25, 2019","3 seasons, 30 episodes",Hindi,Pending,comedy
Mind the Malhotras,Sitcom,"June 7, 2019","1 season, 9 episodes",Hindi,Pending,comedy
Hostel Daze,Comedy drama,"December 13, 2019","4 season, 21 episodes",Hindi,Ended,comedy
Afsos,Comedy drama,"February 6, 2020","1 season, 8 episodes",Hindi,Ended,comedy
Panchayat,Comedy drama,"April 3, 2020","2 season, 16 episodes",Hindi,Renewed,comedy
Rasbhari,Comedy drama,"June 25, 2020","1 season, 8 episodes",Hindi,Pending,comedy
Time Enna Boss,Sci-fi / Comedy drama,"September 18, 2020","1 season, 10 episodes",Tamil,Ended,comedy
Kumari Srimathi[21],Comedy drama,"September 28, 2023","1 season, 7 episodes",Telugu,Pending,comedy
Happy Family: Conditions Apply[22],comedy,"March 10, 2023","1 season, 10 episodes",Hindi,pending,comedy
Awaiting release,Awaiting release,,NoData,,NoData,comedy
Ponmagal Vandhal,Legal drama,"May 29, 2020",NoData,Tamil,NoData,Films
Gulabo Sitabo,Comedy,"June 12, 2020",NoData,Hindi,NoData,Films
Penguin,Thriller,"June 19, 2020",NoData,Telugu/Tamil,NoData,Films
Fourth River,Drama,"June 28, 2020",NoData,Malayalam,NoData,Films
Sufiyum Sujatayum,Romantic drama,"July 3, 2020",NoData,Malayalam,NoData,Films
Law,Legal drama,"July 17, 2020",NoData,Kannada,NoData,Films
French Biryani,Comedy drama,"July 24, 2020",NoData,Kannada,NoData,Films
Shakuntala Devi,Biographical,"July 31, 2020",NoData,Hindi,NoData,Films
C U Soon,Thriller,"September 1, 2020",NoData,Malayalam,NoData,Films
V,Action thriller,"September 5, 2020",NoData,Telugu,NoData,Films
Nishabdham,Thriller,"October 2, 2020",NoData,Telugu/Tamil,NoData,Films
Halal Love Story,Comedy,"October 15, 2020",NoData,Malayalam,NoData,Films
Putham Pudhu Kaalai,Anthology,"October 16, 2020",NoData,Tamil,NoData,Films
Bheemasena Nalamaharaja,Drama,"October 29, 2020",NoData,Kannada,NoData,Films
Gatham,Thriller,"November 6, 2020",NoData,Telugu,NoData,Films
Soorarai Pottru,Drama,"November 12, 2020",NoData,Tamil,NoData,Films
Chhalaang,Sport,"November 13, 2020",NoData,Hindi,NoData,Films
Middle Class Melodies,Romantic drama,"November 20, 2020",NoData,Telugu,NoData,Films
Mane Number 13,Horror,"November 26, 2020",NoData,Kannada/Tamil,NoData,Films
Bombhaat,Science fiction,"December 3, 2020",NoData,Telugu,NoData,Films
IIT Krishnamurthy,Thriller,"December 10, 2020",NoData,Telugu,NoData,Films
Durgamati,Horror-thriller,"December 11, 2020",NoData,Hindi,NoData,Films
Guvva Gorinka,Romantic drama,"December 17, 2020",NoData,Telugu,NoData,Films
Unpaused,Anthology,"December 18, 2020",NoData,Hindi,NoData,Films
Coolie No. 1,Comedy,"December 25, 2020",NoData,Hindi,NoData,Films
Maara,Romantic drama,"January 8, 2021",NoData,Tamil,NoData,Films
Drishyam 2,Thriller,"February 19, 2021",NoData,Malayalam,NoData,Films
Picasso,Drama,"March 19, 2021",NoData,Marathi,NoData,Films
Joji,Drama/Thriller,"April 7, 2021",NoData,Malayalam,NoData,Films
Hello Charlie,Comedy,"April 9, 2021",NoData,Hindi,NoData,Films
Well Done Baby,Family drama,"April 9, 2021",NoData,Marathi,NoData,Films
Aarkkariyam,Comedy-thriller,"May 19, 2021",NoData,Malayalam,NoData,Films
Ek Mini Katha[29],Comedy,"May 27, 2021",NoData,Telugu,NoData,Films
Pachchis,Thriller,"June 12, 2021",NoData,Telugu,NoData,Films
Sherni,Drama/Thriller,"June 18, 2021",NoData,Hindi,NoData,Films
Cold Case,Horror-thriller,"June 30, 2021",NoData,Malayalam,NoData,Films
Sara's,Comedy,"July 5, 2021",NoData,Malayalam,NoData,Films
Malik,Action,"July 15, 2021",NoData,Malayalam,NoData,Films
Toofaan,Sports drama,"July 16, 2021",NoData,Hindi,NoData,Films
Narappa[30],Action drama,"July 20, 2021",NoData,Telugu,NoData,Films
Ikkat,Comedy,"July 21, 2021",NoData,Kannada,NoData,Films
Sarpatta Parambarai,Sports drama,"July 22, 2021",NoData,Tamil,NoData,Films
Kuruthi[31],Action-thriller,"August 11, 2021",NoData,Malayalam,NoData,Films
Shershaah,Biographical,"August 12, 2021",NoData,Hindi,NoData,Films
Home,Comedy drama,"August 19, 2021",NoData,Malayalam,NoData,Films
Tuck Jagadish,Action drama,"September 10, 2021",NoData,Telugu,NoData,Films
Sunny,Drama,"September 23, 2021",NoData,Malayalam,NoData,Films
Raame Aandalum Raavane Aandalum,Drama,"September 24, 2021",NoData,Tamil,NoData,Films
Bhramam,Black comedy crime thriller,"October 7, 2021",NoData,Malayalam,NoData,Films
Udanpirappe,Family drama,"October 14, 2021",NoData,Tamil,NoData,Films
Sardar Udham,Biographical,"October 16, 2021",NoData,Hindi,NoData,Films
Rathnan Prapancha,Comedy drama,"October 22, 2021",NoData,Kannada,NoData,Films
Dybbuk,Supernatural horror thriller,"October 29, 2021",NoData,Hindi,NoData,Films
Jai Bhim,Legal drama,"November 2, 2021",NoData,Tamil,NoData,Films
Jivan Sandhya,Romantic drama,"November 9, 2021",NoData,Marathi,NoData,Films
Dhummas,Thriller drama,"November 23, 2021",NoData,Gujarati,NoData,Films
Drushyam 2,Thriller drama,"November 25, 2021",NoData,Telugu,NoData,Films
Chhorii,Supernatural horror thriller,"November 26, 2021",NoData,Hindi,NoData,Films
Bali,Horror,"December 9, 2021",NoData,Marathi,NoData,Films
Mudhal Nee Mudivum Nee,Coming-of-age film,"January 21, 2022",NoData,Tamil,NoData,Films
One Cut Two Cut,Comedy,"February 3, 2022",NoData,Kannada,NoData,Films
Mahaan,Action-thriller,"February 10, 2022",NoData,Tamil,NoData,Films
Gehraiyaan,Romantic drama,"February 11, 2022",NoData,Hindi,NoData,Films
Family Pack,Comedy,"February 17, 2022",NoData,Kannada,NoData,Films
Jalsa,Social drama,"March 18, 2022",NoData,Hindi,NoData,Films
Achcham Madam Naanam Payirppu,Adult drama,"March 25, 2022",NoData,Tamil,NoData,Films
Sharmaji Namkeen,Drama,"March 31, 2022",NoData,Hindi,NoData,Films
Maja Ma,Drama,"October 6, 2022",NoData,Hindi,NoData,Films
Ammu,Thriller drama,"October 19, 2022",NoData,Telugu,NoData,Films
Oh My Dog,Drama,"April 21, 2022",NoData,Tamil,NoData,Films
Tiku Weds Sheru,Romantic Comedy,"June 23, 2023",NoData,Hindi,NoData,Films
Bawaal,Drama,"July 21, 2023",NoData,Hindi,NoData,Films
Pippa,Historical War film,"November 12, 2023",NoData,Hindi,NoData,Films
Mast Mein Rehne Ka,Comedy,"December 8, 2023",NoData,Hindi,NoData,Films
Dry Day,Comedy,"December 22, 2023",NoData,Hindi,NoData,Films
Awaiting release,Awaiting release,Awaiting release,NoData,Awaiting release,NoData,Films
Ae Watan Mere Watan,Historical drama,TBA,NoData,Hindi,NoData,Films
